p_m=Param m,p_s=Param s,n=Gen (#),t=Time (s),m=Mass (mg),g=Growth (mg/s),r=Gyradius (mm),d=Mass-growth distance (mm),s=Speed (mm/s),w=Angular speed (deg/s),m_a=Mass asymmetry (mg),x=X position(mm),y=Y position(mm),l=Lyapunov exponent,k=Rotational symmetry,w_k=Rotational speed
0.231,0.0565,850,168.625,30.303210528940262,6.18331793257355,2.485486324231475,0.5028190643722054,0.22896637148422685,4.512382064725898,-1.0431442601057028,-38.253174655554645,82.68687714439956,0,0,0
0.231,0.0565,851,168.875,29.902202849965825,6.082277919404744,2.489560743800793,0.6629959312311662,0.24718933782908886,3.4742393009200896,-1.0870272953833773,-38.30714784554136,81.45210950910446,0,0,0
0.231,0.0565,852,169.125,29.49200770363892,5.9550352750944775,2.494549969760573,0.8366400642037214,0.2725211669993797,-1.0019759494775826,-1.0404039515685009,-38.360700074493955,80.09055641783634,0,0,0
0.231,0.0565,853,169.375,29.07355932037883,5.807202733207814,2.5002358998832905,1.0567498448323094,0.2970363827120133,-4.6999149680982555,-1.0327108018959097,-38.388626104517876,78.60563707551061,0,0,0
0.231,0.0565,854,169.625,28.64743417320252,5.81130458475784,2.5028092665385633,1.2532560220034918,0.5171333097636014,-6.242419820265695,-0.9391286343032766,-38.36682018918631,76.02006247714124,0,0,0
0.231,0.0565,855,169.875,28.26116479047315,5.872709725749862,2.507343376976527,1.389790802342029,0.4859605688547766,-2.080124029565013,-0.9477284934837985,-38.324277157104056,73.59063210101134,0,0,0
0.231,0.0565,856,170.125,27.796789764907217,5.738541233476948,2.506499605413926,1.6246970732604231,0.6411734784561762,0.382209697455437,-0.9770237143794611,-38.27349182932483,70.38516698852419,0,0,0
0.231,0.0565,857,170.375,27.28593939614852,5.4034892631516085,2.500302613751513,1.656989946956944,0.7134775135005598,0.5803015123869955,-0.9830005464099281,-38.226011343921655,66.81809540804261,0,0,0
0.231,0.0565,858,170.625,26.815948707969902,5.247342377666566,2.4887650749006576,1.454144600722493,0.8286278914668368,-0.9609395430738914,-1.0513346128802983,-38.153498181217536,62.67559056143662,0,0,0
0.231,0.0565,859,170.875,26.391789539050023,5.322373443295472,2.4807338078007497,1.264505376148431,0.6282324761269227,5.467107072785893,-1.0690857117305768,-38.1734503227307,59.53449154778501,0,0,0
0.231,0.0565,860,171.125,25.98656456480553,5.357759704979455,2.475431139023013,1.0961060203522848,0.45177388094041654,4.696732596696165,-1.0092419788179654,-38.234082927442536,57.276436040330644,0,0,0
0.231,0.0565,861,171.375,25.63181600026615,5.387976458983231,2.47208603760159,0.8904431275890718,0.32790224744480045,17.823448958287372,-0.9917369365682385,-38.405287230300296,55.6458882232867,0,0,0
0.231,0.0565,862,171.625,25.36638604230523,5.490537689143297,2.4672661536077998,0.6549543442130265,0.31177519998713343,17.597308020840046,-0.9244466842937641,-38.68651511292344,54.11258940661373,0,0,0
0.231,0.0565,863,171.875,25.22373402627334,6.223061631066194,2.4630368593289518,0.3906187733831557,0.15694267874047238,61.24458575947392,-1.0997649537684402,-39.02686817750193,53.40552865838349,0,0,0
0.231,0.0565,864,172.125,25.143330439788055,6.718077856547456,2.4562850372850624,0.26789090407285626,0.2855019860668644,155.0956532724913,0.34046025712490746,-40.31508551420175,52.79048337986399,0,0,0
0.231,0.0565,865,172.375,25.00880791022007,6.89793739664701,2.44614364540985,0.1688601615547125,0.2051497398878306,-35.475991773758324,-0.14470623520787512,-41.16153937210686,52.21110762887102,0,0,0
0.231,0.0565,866,172.625,24.864591078745505,7.138255277501733,2.436184235521432,0.06007770161805401,0.11754861561718126,95.12792457962405,0.07593057049552271,-41.73923649281768,52.10290428991922,0,0,0
0.231,0.0565,867,172.875,24.743055819784523,7.4349133001785574,2.427975651534593,0.03894110316302771,0.039060644524457525,-76.80762705436791,0.06652906889200494,-41.908695997834855,52.0058124523324,0,0,0
